recording_time_s,mission_time_s,event,details
,,mission_status_changed,"{""value"":""WAITING FOR VALIDATED MISSION""}"
,,interactive_active_changed,"{""value"":false}"
,,collision_changed,"{""value"":false}"
,,navigation_goal_index_changed,"{""value"":0}"
,,navigation_visited_goals_changed,"{""value"":0}"
,,navigation_complete_changed,"{""value"":false}"
,,navigation_success_changed,"{""value"":true}"
,,editor_status_changed,"{""value"":""GEOMETRY VALID""}"
,,interactive_ready_changed,"{""value"":false}"
,,interactive_goal_count_changed,"{""value"":0}"
0.0,,recording_started,{}
1.144995927810669,,editor_status_changed,"{""value"":""PREFLIGHT VALIDATING""}"
1.144995927810669,,mission_status_changed,"{""value"":""PREFLIGHT VALIDATING""}"
1.144995927810669,0.0,mission_started,"{""source"":""interactive_mission_active""}"
1.144995927810669,0.0,interactive_active_changed,"{""value"":true}"
1.144995927810669,0.0,goal_activated,"{""goal_index"":0,""source"":""navigation_goal_index""}"
1.1850659847259521,0.0400700569152832,trajectory_started,"{""value"":true}"
1.1850659847259521,0.0400700569152832,editor_status_changed,"{""value"":""TAKING OFF""}"
1.1850659847259521,0.0400700569152832,mission_status_changed,"{""value"":""TAKING OFF""}"
4.764975547790527,3.6199796199798584,editor_status_changed,"{""value"":""PLANNING P1 / 1""}"
4.764975547790527,3.6199796199798584,mission_status_changed,"{""value"":""PLANNING P1 / 1""}"
4.805162191390991,3.6601662635803223,editor_status_changed,"{""value"":""EXECUTING P1 / 1""}"
4.805162191390991,3.6601662635803223,mission_status_changed,"{""value"":""EXECUTING P1 / 1""}"
58.20453715324402,57.05954122543335,editor_status_changed,"{""value"":""HOLDING P1 / 1""}"
58.20453715324402,57.05954122543335,mission_status_changed,"{""value"":""HOLDING P1 / 1""}"
59.20446968078613,58.059473752975464,navigation_visited_goals_changed,"{""value"":1}"
59.20446968078613,58.059473752975464,navigation_complete_changed,"{""value"":true}"
59.20446968078613,58.059473752975464,editor_status_changed,"{""value"":""MISSION COMPLETE""}"
59.20446968078613,58.059473752975464,mission_status_changed,"{""value"":""MISSION COMPLETE""}"
59.20446968078613,58.059473752975464,interactive_active_changed,"{""value"":false}"
59.20945858955383,58.064462661743164,navigation_complete_confirmed,{}
62.21446180343628,61.06946587562561,recording_stopped,"{""reason"":""navigation_success_and_steady_window_complete""}"
