stage,axis_group,coefficient,initial,final,half_time_s,ten_percent_time_s,monotonic_energy,peak
translational,xy,0.0,1.0,1.0,,,True,1.0
translational,xy,0.1,1.0,0.3677874521459701,6.93,,True,1.0
translational,xy,0.2,1.0,0.1351999253974996,3.465,,True,1.0
translational,xy,0.3,1.0,0.049675061498183105,2.31,7.67,True,1.0
translational,z,0.0,1.0,1.0,,,True,1.0
translational,z,0.1,1.0,0.3677874521459701,6.93,,True,1.0
translational,z,0.2,1.0,0.1351999253974996,3.465,,True,1.0
translational,z,0.3,1.0,0.049675061498183105,2.31,7.67,True,1.0
translational_refinement,xy_refinement,0.01,1.0,0.9048351558698351,,,True,1.0
translational_refinement,xy_refinement,0.02,1.0,0.8187225652655311,,,True,1.0
translational_refinement,xy_refinement,0.03,1.0,0.7408015507922799,,,True,1.0
translational_refinement,xy_refinement,0.05,1.0,0.6064927464121893,,,True,1.0
translational_refinement,z_refinement,0.01,1.0,0.9048351558698351,,,True,1.0
translational_refinement,z_refinement,0.02,1.0,0.8187225652655311,,,True,1.0
translational_refinement,z_refinement,0.03,1.0,0.7408015507922799,,,True,1.0
translational_refinement,z_refinement,0.05,1.0,0.6064927464121893,,,True,1.0
angular,roll_pitch,0.0,1.0,1.0,,,True,1.0
angular,roll_pitch,0.005,1.0,0.08195673414808338,2.775,9.205,True,1.0
angular,roll_pitch,0.01,1.0,0.006695896276803074,1.385,4.6000000000000005,True,1.0
angular,roll_pitch,0.02,1.0,4.427529784808342e-05,0.6950000000000001,2.3000000000000003,True,1.0
angular,yaw,0.0,1.0,1.0,,,True,1.0
angular,yaw,0.01,1.0,0.08195673414808338,2.775,9.205,True,1.0
angular,yaw,0.02,1.0,0.006695896276803074,1.385,4.6000000000000005,True,1.0
angular,yaw,0.04,1.0,4.427529784808342e-05,0.6950000000000001,2.3000000000000003,True,1.0
