metric,old,selected,aggressive
horizontal_step_rise_time_s,4.87513209899771,4.885114698998223,4.884958332004317
horizontal_step_settling_time_s,9.096371799001645,8.99274590699497,8.984377285996743
horizontal_step_overshoot_m,0.0,0.0,0.0
horizontal_step_max_tilt_rad,0.05453423418352399,0.1056584871265819,0.10565853652421374
horizontal_step_max_rpm,11432.195082390428,12016.90566131941,12016.842600037013
horizontal_step_horizontal_saturation_count,83,0,0
disturbance_0p3_max_offset_m,0.3513319016298779,0.34862495025956364,0.34862495025956364
disturbance_0p3_recovery_time_s,4.6101450079950155,4.654784667000058,4.655030916001124
disturbance_0p8_max_offset_m,2.091292211903826,0.9502354562962777,0.9296497133077807
disturbance_0p8_recovery_time_s,9.410384066002734,6.4152013740022085,6.346588578999217
disturbance_0p8_horizontal_saturation_count,465,71,0
multi_goal_max_tracking_error_m,0.027957293401047842,0.02690921604016282,not_run
multi_goal_minimum_clearance_m,0.08936302619006398,0.09466755824156259,not_run
multi_goal_completion_time_s,142.38768332698965,142.40748863599583,not_run
multi_goal_max_rpm,13067.535212862302,13067.535212862302,not_run
multi_goal_saturation_count,0,0,not_run
multi_goal_final_error_m,0.004183037562358352,0.0056245190732105805,not_run
multi_goal_final_speed_m_s,0.0016917844126189355,0.0024305422331233587,not_run
